doctype;docentry;itype;TransNo;remarks;transdate;Collector
13;22003;Tukar Faktur;PY-IN-23001705;;2023-01-16;Affen
13;7866;Tukar Faktur;PY-IN-23001705;;2023-01-16;Affen
13;7867;Tukar Faktur;PY-IN-23001705;;2023-01-16;Affen
13;9680;Tukar Faktur;PY-IN-23001705;;2023-01-16;Affen
13;9681;Tukar Faktur;PY-IN-23001705;;2023-01-16;Affen
13;1702;Tukar Faktur;PY-IN-23001841;;2023-01-16;Imam
13;1704;Tukar Faktur;PY-IN-23001841;;2023-01-16;Imam
13;22786;Tukar Faktur;PY-IN-23001845;;2023-01-16;Fuad
13;1689;Tukar Faktur;PY-IN-23001849;;2023-01-16;Fuad
13;1759;Tukar Faktur;PY-IN-23001853;;2023-01-16;Bayu
13;87;Tukar Faktur;PY-IN-23001885;;2023-01-16;Yohanes
13;90;Tukar Faktur;PY-IN-23001885;;2023-01-16;Yohanes
13;47643;Tukar Faktur;PY-IN-23002074;;2023-01-16;Budi
13;47646;Tukar Faktur;PY-IN-23002075;;2023-01-16;Budi
13;1987;Tukar Faktur;PY-IN-23002310;;2023-01-17;Ferry
13;1989;Tukar Faktur;PY-IN-23002310;;2023-01-17;Ferry
13;22594;Tukar Faktur;PY-IN-23002310;;2023-01-17;Ferry
13;1849;Tukar Faktur;PY-IN-23002359;;2023-01-17;Ilyas
13;1850;Tukar Faktur;PY-IN-23002359;;2023-01-17;Ilyas
13;1859;Tukar Faktur;PY-IN-23002359;;2023-01-17;Ilyas
13;1860;Tukar Faktur;PY-IN-23002359;;2023-01-17;Ilyas
13;1903;Tukar Faktur;PY-IN-23002359;;2023-01-17;Ilyas
13;2012;Tukar Faktur;PY-IN-23002359;;2023-01-17;Ilyas
13;2016;Tukar Faktur;PY-IN-23002359;;2023-01-17;Ilyas
13;46730;Tukar Faktur;PY-IN-23002359;;2023-01-17;Ilyas
13;39557;Tukar Faktur;PY-IN-23002361;;2023-01-17;Ilyas
13;1221;Tukar Faktur;PY-IN-23002363;;2023-01-17;Ilyas
13;22604;Tukar Faktur;PY-IN-23002374;;2023-01-17;Tyo
13;1828;Tukar Faktur;PY-IN-23002375;;2023-01-17;Irfan
13;20424;Tukar Faktur;PY-IN-23002376;;2023-01-17;Yohanes
13;8133;Tukar Faktur;PY-IN-23002378;;2023-01-17;Yohanes
13;1907;Tukar Faktur;PY-IN-23002379;;2023-01-17;Bayu
13;1908;Tukar Faktur;PY-IN-23002379;;2023-01-17;Bayu
13;22760;Tukar Faktur;PY-IN-23002379;;2023-01-17;Bayu
13;46776;Tukar Faktur;PY-IN-23002382;;2023-01-17;Bayu
13;1951;Tukar Faktur;PY-IN-23002386;;2023-01-17;Bayu
13;1952;Tukar Faktur;PY-IN-23002386;;2023-01-17;Bayu
13;902;Tukar Faktur;PY-IN-23002391;;2023-01-17;Irfan
13;1787;Tukar Faktur;PY-IN-23002395;;2023-01-17;Jhon
13;30963;Tukar Faktur;PY-IN-23002395;;2023-01-17;Jhon
13;47021;Tukar Faktur;PY-IN-23002395;;2023-01-17;Jhon
13;22511;Tukar Faktur;PY-IN-23002397;;2023-01-17;Yohanes
