docentry;revisi;U_IDU_FPajak;docnum;docdate;cardcode;cardname;NumAtCard
96861;081.007-23.17042762;080.007-23.17042762;302205143;2023-02-24 00:00:00.000;HT0159;PT. NUSA PRATAMA PROPERTY;SO202302125286
96864;081.007-23.17042765;080.007-23.17042765;302205144;2023-02-24 00:00:00.000;HT0159;PT. NUSA PRATAMA PROPERTY;SO202302125288
96865;081.007-23.17042766;080.007-23.17042766;302304594;2023-02-21 00:00:00.000;RS1241;PT. ASTOWA FOOD INDONESIA;SO202302122157
96867;081.007-23.17042768;080.007-23.17042768;302205145;2023-02-24 00:00:00.000;HT0338;PT JAYA HOTEL LESTARI;SO202302125289
96868;081.007-23.17042769;080.007-23.17042769;302205146;2023-02-24 00:00:00.000;HT0109;PT. KREASI CIPTA UTAMA;SO202302125291
96870;081.007-23.17042771;080.007-23.17042771;302502494;2023-02-24 00:00:00.000;SM0050;PT. SUPRA BOGA LESTARI Tbk;SO202302125953
96871;081.007-23.17042772;080.007-23.17042772;302205147;2023-02-24 00:00:00.000;HT0102;PT. GLOBAL ARTA BERJAYA;SO202302125293
96358;081.007-23.17042261;080.007-23.17042261;302205087;2023-02-21 00:00:00.000;RS2881;PT KEDAI FILOSOFI KOPI;SO202302121233
96359;081.007-23.17042262;080.007-23.17042262;302304451;2023-02-21 00:00:00.000;RS0489;PT. OOTOYA INDONESIA;SO202302122416
96361;081.007-23.17042264;080.007-23.17042264;302205088;2023-02-21 00:00:00.000;RS1175;PT. BERRIEN PARAMA MULIA;SO202302121237
96362;081.007-23.17042265;080.007-23.17042265;302304452;2023-02-21 00:00:00.000;RS0489;PT. OOTOYA INDONESIA;SO202302122423
96363;081.007-23.17042266;080.007-23.17042266;302304453;2023-02-21 00:00:00.000;RS2500;PT AVANI SIVA PRADANA;SO202302122430
96364;081.007-23.17042267;080.007-23.17042267;302804545;2023-02-21 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302122637
96365;081.007-23.17042268;080.007-23.17042268;302804546;2023-02-21 00:00:00.000;EC0011;ONLINE TOKOPEDIA;SO202302122642
96366;081.007-23.17042269;080.007-23.17042269;302304454;2023-02-20 00:00:00.000;RS1769;PT SARI FOOD LESTARI;SO202302118704
96368;081.007-23.17042271;080.007-23.17042271;302304455;2023-02-22 00:00:00.000;RS1769;PT SARI FOOD LESTARI;SO202302121888
96369;081.007-23.17042272;080.007-23.17042272;302804548;2023-02-21 00:00:00.000;EC0015;ONLINE SHOPEE;SO202302122793
