sapBPCode;code;CardName;CardFName;Type;sales;creditlimit;locklimit(days);pymntgroup
RS0357;102.331;YAKINIKU LIKE (PT. BOGA MAKMUR MANDIRI);PT. BOGA MAKMUR MANDIRI;Restaurant;78;3000000;30;4
RS0358;102.003;YANTI'S KITCHEN;YANTI'S KITCHEN;Restaurant;78;10000000;7;4
RS0010;102.045;ALAMAMA RESTO;ALAMAMA RESTO;Restaurant;78;50000000;7;6
RS0003;102.328;ARMEY KITCHEN;ARMEY KITCHEN;Restaurant;78;50000000;7;6
PC0005;114.09;BABRAK SPACE;BABRAK SPACE;Coffee Shop;78;20000000;7;6
RS0077;102.077;DOUBLE DECKER RESTAURANT;DOUBLE DECKER RESTAURANT;Restaurant;78;10000000;7;6
RS0113;114.029;HONKY TONK PIZZABAR;HONKY TONK PIZZABAR;Restaurant;78;5000000;7;6
RS0122;102.307;INUL VISTA SOLO (CV. SAPTA BHARATA PRIMA);CV. SAPTA BHARATA PRIMA;Restaurant;78;3000000;7;6
PC0036;114.034;KAYU MANIS COFFEE SHOP;KAYU MANIS COFFEE SHOP;Coffee Shop;78;20000000;7;6
RS0022;101.076;BARON HOUSE;BARON HOUSE;Restaurant;78;30000000;14;7
RS0049;102.074;DAEGU GRILL RESTAURANT;DAEGU GRILL RESTAURANT;Restaurant;78;20000000;14;7
RS0066;102.009;DALI GELATO UMS;DALI GELATO UMS;Restaurant;78;1000000;14;7
RS0098;102.072;GARDEN RESTO NEW DE PARIS;GARDEN RESTO NEW DE PARIS;Restaurant;78;4000000;14;7
RS0109;102.117;HELLO COW;HELLO COW;Restaurant;78;5000000;14;7
RS0146;102.15;LA MEXICANA;LA MEXICANA;Restaurant;78;5000000;14;7
HT0025;101.069;MAHALAYA;MAHALAYA;Hotel;78;10000000;14;7
CT0003;104.003;MARIAM CATERING SOLO;MARIAM CATERING SOLO;Catering;78;1000000;14;7
