sapBPCode;Outlet;Outlet Address
DS0021;TOKO ASIA BARU;Jl. Jend. Urip Sumoharjo No.50, Sudiroprajan, Kec. Jebres, Kota Surakarta, Jawa Tengah
DS0020;TOKO ATOM;Jl. Dr. Rajiman No.258 Sriwedari, Laweyan, Surakarta
PC0067;TOMUAN COFFE;Jl. Menteri Supeno No.7B, Manahan, Kec. Banjarsari, Kota Surakarta,
RS0372;TONG TJI;JL TIGA NEGERI NO 17 MAKAMHAJI
CT0007;TSABITA JASA BOGA;"Jln. Parangkesit no 20, Sondakan, Laweyan, Solo (Hotel malionoro inn, pasar kabangan ke utara, gang ke 3 ambil kiri, smk al-islam 200m, ke barat, kanan jalan)"
CT0008;TULAS CATERING;JL. TULAS KARANGDOWO KLATEN RT 03/02KLATEN 081804111021
UM0051;TUTI SRI NURYANTI;JL.SURYO PRANOTO 21 RT.006 RW.002, KEPATIHAN WETAN, JEBRES, SURAKARTA, JAWA TENGAH 57129
DS0024;UD. ALASKA FOOD SERVICE;"RUKO KWARASAN PERMAI BLOK A NO.9 SOLO BARU"
DS0025;UD ARGA SARI;"JL. CENDANA 99 BOYOLALI JAWA TENGAH"
DS0026;UD. SALIM;Manahan Solo
RS0338;UNY EPPY;JL.MARKISA IV NJAJAR SOLO
PC0068;UP DATE COFFEE;Jalan Yosodipuro No.133, Mangkubumen, Banjarsari, Mangkubumen, Banjarsari, Kota Surakarta, Jawa Tengah
RS0340;VENICE PIZZA;Jl. Menco Raya, Nilagraha, Gonilan, Kartasura, Kabupaten Sukoharjo, Jawa Tengah
RS0341;VIOLET RESTO;jl.gatot subroto 285 sraten solo (dekat paparons)
RS0342;V JATI;PERUM GRIYA MANGGAR , NO . A9 , PURBAYAN , BAKI , SUKOHARJO JATENG.
RS0373;WAFFLE AND CO';"Gang Poncowati II No. 90 RT 09 RW 01 Kratonan Serengan Surakarta"
RS0343;WAKO CHICKEN;Sriwedari, Laweyan, Surakarta City, Central Java 57141
