code;itemcode;itemname;disc;servicefee
198;AID2OLS052;AUS RIB EYE HORMON FREE / DAGING SAPI STEAK BEBAS HORMON 200GR;0.031;3.1
199;GID2TAL001;NZ FRIES SHOESTRING 1KG;0.031;3.1
200;GNZ2TAL001;NZ FRIES STRAIGHT CUT 2,5 KG;0.031;3.1
201;AID2OLS058;US Striploin Prime 'Slice Shabu' -+ 250GR;0.031;3.1
202;AID2OLS036;US BEEF CHUCK GALBI-KALBI MB 4 / DAGING SAPI KALBI MB 4;0.031;3.1
203;AID2OLS051;US Prime Ribeye Roll - Daging Steak US Ribeye Prime;0.031;3.1
204;AID2OLS048;;0.031;3.1
205;AID2OLS003;Beef Shredded / Trimmingan Daging Sapi;0.031;3.1
206;AID2OLS050;Aus Beef Tail Center Cut / Buntut Sapi Potongan Tengah;0.031;3.1
207;AID2OLS070;"US Prime Chuck Short Rib Boneless ""Slice Shabu""";0.031;3.1
208;AID2OLS035;;0.031;3.1
209;AID2OLS034;Daging Sapi - AUS Beef Slice Shabu -+500 GR;0.031;3.1
210;AID2OLS045;AUS Striploin A Sliced Beef - Daging Sapi Sliced Striploin A / 500 GR;0.031;3.1
211;AID2OLS043;US Beef Galbi-Kalbi MB 2 / Daging Sapi Galbi-Kalbi MB 2 -+500 GR;0.031;3.1
212;AID2OLS042;US Beef Clod Prime MB4 - Shabu Sliced / 500 GR;0.031;3.1
213;EID3KEW002;Kewpie Base Type Mayonnaise 1 KG;0.031;3.1
214;FKR3JSG005;Topokki Sauce Sweet & Spicy / Saus Topokki Manis Pedas 235 GR;0.031;3.1
215;EID3KEW010;Kewpie Cheese Mayo - Cooking Sauce 1 KG;0.031;3.1
216;EID3KEW004;Kewpie Baking Mayonnaise 1 KG;0.031;3.1
217;AID2OLS033;US Striploin Prime Angus CAB / Daging Steak Angus Prime CAB 200GR;0.031;3.1
218;GID2OLS004;Kentang Goreng Skin On Premium Butter coated -Transfat Free;0.031;3.1
219;AID2OLS059;US Beef Galbi-Kalbi MB 4 / Daging Sapi Galbi-Kalbi MB 4 -+500 GR;0.031;3.1
220;AID2OLS032;Wagyu Striploin MB 7 / Daging Steak Wagyu Sirloin 200 GR;0.031;3.1
221;AID2OLS028;AUS - Wagyu Ribeye MB 7 / Daging sapi AUS Wagyu Ribeye MB 7;0.031;3.1
222;FKR3JSG010;Jinsung Korean Kalbi BBQ Sauce 500 Gram;0.031;3.1
223;FES3LAR018;Extra Virgin Olive Oil - Special Coupage La Rambla 500 ml;0.031;3.1
224;GID2OLS003;Potato Steak Fries / Kentang Goreng Potongan Tebal 1 KG;0.031;3.1
225;BID2IGU121;Elprimo Sosis Sapi Daging Keju / Elprimo Beef Cheese Sausage 500 GR;0.031;3.1
226;EIT3DEC022;Spaghetti - De Cecco Pasta 500 GR;0.031;3.1
227;EIT3DEC030;Fettucine - De Cecco Pasta 250 GR;0.031;3.1
228;EIT3DEC020;Penne Rigate - De Cecco Pasta - 500 GR;0.031;3.1
229;GID2OLS002;Sweet Potato / Ubi Premium;0.031;3.1
230;AID2OLS024;Daging Patties Kotak / Square Beef Patties 450GR / 5 PC;0.031;3.1
231;AID2LOC041;US Premium Saikoro - 100% Daging Halal;0.031;3.1
232;HSG1EMM001;Emmi Premium Yoghurt from Swiss;0.031;3.1
233;AID2OLS037;Daging Giling Premium / Premium Ribeye Ground Beef - LOW FAT;0.031;3.1
234;AID2OL0096;USA - Potato Wedges / Kentang Wedges Bumbu Original 500 gr;0.031;3.1
235;EID3KEW008;kewpie salad dressing thousand island;0.031;3.1
236;EID3KEW006;kewpie salad dressing soy sauce;0.031;3.1
237;EID3KEW005;kewpie salad dressing roasted sesame;0.031;3.1
238;EID3KEW007;kewpie salad dressing caesar;0.031;3.1
239;EID3KEW009;kewpie salad dressing spicy tomato;0.031;3.1
240;EID3KEW001;mayonaise original / kewpie original mayonaise;0.031;3.1
241;HBE3CDM005;Countre Vanilla Milk / Susu Countre Rasa Vanilla;0.031;3.1
242;HBE3CDM003;Countre Peach Mango Milk / Susu Countre Rasa Peach Mangga;0.031;3.1
243;HBE3CDM001;Countre Banana Milk / Susu Countre Rasa Pisang;0.031;3.1
244;AID2OLS027;US - Choice Short Rib Bone In / Daging Iga Sapi 500 gr;0.031;3.1
245;AID2OLS010;US - Prime Striploin / Daging Steak Sapi 200gr;0.031;3.1
246;AID2OLS009;US - Striploin Select / Daging Steak Sapi 200gr;0.031;3.1
247;AID2OLS019;AUS - Striploin Black Angus - Grass Fed - Hormone Free 200 gr;0.031;3.1
248;AID2OLS018;AUS - Daging Sapi 1 KG BLADE -Black Angus -Hormone Free - Grass Fed;0.031;3.1
249;AID2OLS021;AUS - Premium Ribeye black angus / Daging Sapi cut Steak 200 gr;0.031;3.1
250;AID2OLS023;AUS - premium yakiniku / shabu2 PE brisket YG / daging sapi slice;0.031;3.1
251;AID2OLS007;USA - Tenderloin NR grain fed / daging sapi steak;0.031;3.1
252;GID2TAS005;Tasty Fries Straight Cut Plain / kentang beku;0.031;3.1
253;GID2TAS003;Tasty Fries Crinkle Cut Plain / kentang beku;0.031;3.1
254;GID2TAS002;Tasty Fries Shoestring Batter Coated / kentang beku;0.031;3.1
255;AID2OLS005;Aus Beef Tail Mix Cut / Buntut sapi Potongan campur / Pack +- 500 gram;0.031;3.1
256;AID2OLS004;Aus Beef Tail End Cut / Buntut sapi End cut /Pack +- 500 gram;0.031;3.1
257;AID2OLS017;Premium Yakiniku + Shabu. US Prime Beef (A001);0.031;3.1
258;AID2OLS015;Premium Yakiniku - US Certified Angus Beef (A002);0.031;3.1
259;AID2OLS014;Premium Yakiniku - US Outside Skirt Choice (A003);0.031;3.1
260;AID2OLS016;Premium Yakiniku - US Short Rib Bone Less Choice (A004);0.031;3.1
261;AID2OLS006;AUS - Striploin Sliced PR Grain Fed / Daging Sapi Slice Premium;0.031;3.1
262;AID2OLS012;AUS - Striploin Sliced Hormone Free / Daging sirloin slice;0.031;3.1
263;AID2OLS064;Sirloin Steak Australia Bebas Hormon / AUS-Sirloin Steak Hormone Free;0.031;3.1
264;FKR3JSG009;Jinsung Korean Bulgogi Sauce 500 Gram;0.031;3.1
265;BID2IGU162;Sosis Ayam Bawang / Chicken Garlic Sausage;0.031;3.1
266;BID2IGU034;Basko Sapi Super 750gr / Super Meatball;0.031;3.1
267;BID2IGU076;Daging Sapi Asap / Smoked Beef 500 Gram;0.031;3.1
268;BID2IGU029;Daging Sapi Pastrami / Pastrami Beef 500 Gram;0.031;3.1
269;BID2IGU078;"Daging Sapi Asap “Brisket US” / US Smoked Beef "" Brisket""";0.031;3.1
270;BID2IGU077;"Daging Sapi Asap “Shortplate US” / US Smoked Beef ""Shortplate""";0.031;3.1
271;BID2IGU117;Sosis Ayam Bratwurst / Chicken Bratwurst Sausage;0.031;3.1
272;BID2IGU115;Sosis Keju Daging Ayam / Chicken Cheese Sausage;0.031;3.1
273;BID2IGU159;"Sosis Daging Ayam Premium ""Breakfast"" / Chicken Breakfast Premium";0.031;3.1
