CardCode;DocType;Series;DocDate;DocDueDate;TaxDate;CardName;DocNum;NumAtCard;ItemDescription;VatGroup;LineTotal;AccountCode
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212632;SO22221202547;OB NO SO22221202547-221212632;PPNM_00;1859250;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212639;SO22221202546;OB NO SO22221202546-221212639;PPNM_00;2397400;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212893;SO22221202420;OB NO SO22221202420-221212893;PPNM_00;36382780;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212617;SO22221202424;OB NO SO22221202424-221212617;PPNM_00;7033571;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212793;SO22221202728;OB NO SO22221202728-221212793;PPNM_00;19200000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212847;SO22221202784;OB NO SO22221202784-221212847;PPNM_00;9600000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212851;SO22221202785;OB NO SO22221202785-221212851;PPNM_00;1090575;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212856;SO22221202780;OB NO SO22221202780-221212856;PPNM_00;13315680;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221212863;SO22221202782;OB NO SO22221202782-221212863;PPNM_00;2553000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221213440;SO22221203150;OB NO SO22221203150-221213440;PPNM_00;539999;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221213434;SO22221203120;OB NO SO22221203120-221213434;PPNM_00;260000;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221213245;SO22221203102;OB NO SO22221203102-221213245;PPNM_00;13570200;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221213246;SO22221202935;OB NO SO22221202935-221213246;PPNM_00;8386050;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221213246;SO22221202937;OB NO SO22221202937-221213246;PPNM_00;12133960;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221213248;SO22221203101;OB NO SO22221203101-221213248;PPNM_00;25331280;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221213250;SO22221203083;OB NO SO22221203083-221213250;PPNM_00;4478184;3910003
VG0001;dDocument_Service;-1;2022-12-31;2022-12-31;2022-12-31;PT. JOGJA KULINA UTAMA;221213252;SO22221203126;OB NO SO22221203126-221213252;PPNM_00;1038960;3910003
