ID;ADDRESS;ROOM;warehousename;NO PALLET;LOCATION;CODE;ITEM DESCRIPTION;BOOKING;BRAND;ME/EST;CATEGORI;ITEM CODE;CTN;PCS;KGS;PKD;EXP;OWNER;NO CONT;REMARKS
A04620;B3;G08;B3G08;B3G08-R01-03-D2;G8-1-03-D2;83;AUS FRZ STRIPLOIN PR 5 KG UP IW/VAC;FREE;HUNTER VALLEY;EST 262;AUS PR CUT;AAU2JBS020;30;;574.30;13/07/22;;IN 11/09/22;SZLU 2035293 (40 FEET);EX CHILLED
A04622;B3;G08;B3G08;B3G08-R01-04-D2;G8-1-04-D2;54;US FRZ BEEF SHOULDER CLOD PR XT (BOLAR BLADE);FREE;SWIFT;EST 969G;US 2ND;AUS2SWF066;11;;330.26;21/02/22;;IMS 31/05/22;OERU 4162740 (40 FEET);
A04623;B3;G08;B3G08;B3G08-R01-05-D1;G8-1-05-D1;;US FRZ BEEF TRIMMING 65 CL;FREE;FARMERS;EST 17202A;US 2ND;AUS2SWF063;24;;653.28;14/03/22;;CKI 16/07/22;TXGU 9009455 (40 FEET);
A04630;B3;G08;B3G08;B3G08-R01-08-D1;G8-1-08-D1;42;US 123A FRZ SHORT RIB B/IN CH CAB;FREE;SWIFT;EST 969;US 2ND;AUS2SWF055;20;;517.23;04/08/22;;IGU 14/01/23;TTNU 8308256 (40 FEET);
A04631;B3;G08;B3G08;B3G08-R01-08-D1;G8-1-08-D1;48;US 116 FRZ CHUCK EYE ROLL PR ;FREE ;IBP ;EST 245C ;US 2ND ;AUS2IBP026 ;30;;503.10;18/01/22;;IGU 25/05/22 ;OOLU 6248476 (40 FEET) ;
A04632;B3;G08;B3G08;B3G08-R01-08-D1;G8-1-08-D1;56;US 121 FRZ SHORT PLATE S/T VP;FREE;SWIFT;EST 3D;US 2ND;AUS2SWF038;16;;524.21;26/10/22;;IGU 24/12/22;OERU 4101338 (40 FEET);
A04634;B3;G08;B3G08;B3G08-R01-09-D1;G8-1-09-D1;37;US 112A FRZ RIBEYE LIPON PR 13UP;BISTECCA;GOP;EST 960A;US PR CUT;AUS2GOP041;16;;493.05;25/01/22;;IMS 22/05/22;TRIU 8787702 (40 FEET);
A04635;B3;G08;B3G08;B3G08-R01-09-D2;G8-1-09-D2;54;US FRZ BEEF SHOULDER CLOD PR XT (BOLAR BLADE);FREE;SWIFT;EST 969G;US 2ND;AUS2SWF066;20;;594.75;14/06/22;;SCA 18/09/22;OOLU 6272657 (40 FEET);FLAT IRON REMOVED (LABEL MERAH)
A04636;B3;G08;B3G08;B3G08-R01-10-D1;G8-1-10-D1;54;US FRZ BEEF SHOULDER CLOD PR XT (BOLAR BLADE);FREE;SWIFT;EST 969G;US 2ND;AUS2SWF066;20;;551.80;14/06/22;;SCA 18/09/22;OOLU 6272657 (40 FEET);FLAT IRON REMOVED (LABEL MERAH)
A04637;B3;G08;B3G08;B3G08-R01-10-D2;G8-1-10-D2;54;US FRZ CHUCK SHOULDER CLOD PR XT;FREE;GOP;EST 960A;US 2ND;AUS2GOP092;13;;404.29;25/07/22;;SCA 15/06/22;FSCU 5822998 (40 FEET);1114
