bincode,AbsEntry
B1F07-R01-04-B2,642
B1F07-R01-04-C1,643
B1F07-R01-04-C2,644
B1F07-R01-04-D1,645
B1F07-R01-04-D2,646
B1F07-R01-04-E1,647
B1F07-R01-04-E2,648
B1F07-R01-04-F1,649
B1F07-R01-04-F2,650
B1F07-R01-04-G1,651
B1F07-R01-04-G2,652
B1F07-R01-05-00,653
B1F07-R01-05-A1,654
B1F07-R01-05-A2,655
B1F07-R01-05-B1,656
B1F07-R01-05-B2,657
B1F07-R01-05-C1,658
B1F07-R01-05-C2,659
B1F07-R01-05-D1,660
B1F07-R01-05-D2,661
B1F07-R01-05-E1,662
B1F07-R01-05-E2,663
B1F07-R01-05-F1,664
B1F07-R01-05-F2,665
B1F07-R01-05-G1,666
B1F07-R01-05-G2,667
B1F07-R01-06-00,668
B1F07-R01-06-A1,669
B1F07-R01-06-A2,670
B1F07-R01-06-B1,671
B1F07-R01-06-B2,672
B1F07-R01-06-C1,673
B1F07-R01-06-C2,674
B1F07-R01-06-D1,675
B1F07-R01-06-D2,676
B1F07-R01-06-E1,677
B1F07-R01-06-E2,678
B1F07-R01-06-F1,679
B1F07-R01-06-F2,680
B1F07-R01-06-G1,681
B1F07-R01-06-G2,682
B1F07-R01-07-00,683
B1F07-R01-07-A1,684
B1F07-R01-07-A2,685
B1F07-R01-07-B1,686
B1F07-R01-07-B2,687
B1F07-R01-07-C1,688
B1F07-R01-07-C2,689
B1F07-R01-07-D1,690
B1F07-R01-07-D2,691
B1F07-R01-07-E1,692
B1F07-R01-07-E2,693
B1F07-R01-07-F1,694
B1F07-R01-07-F2,695
B1F07-R01-07-G1,696
B1F07-R01-07-G2,697
B1F07-R01-08-00,698
B1F07-R01-08-A1,699
B1F07-R01-08-A2,700
B1F07-R01-08-B1,701
B1F07-R01-08-B2,702
B1F07-R01-08-C1,703
B1F07-R01-08-C2,704
B1F07-R01-08-D1,705
B1F07-R01-08-D2,706
B1F07-R01-08-E1,707
B1F07-R01-08-E2,708
B1F07-R01-08-F1,709
B1F07-R01-08-F2,710
B1F07-R01-08-G1,711
B1F07-R01-08-G2,712
B1F07-R01-09-00,713
B1F07-R01-09-A1,714
B1F07-R01-09-A2,715
B1F07-R01-09-B1,716
B1F07-R01-09-B2,717
B1F07-R01-09-C1,718
B1F07-R01-09-C2,719
B1F07-R01-09-D1,720
B1F07-R01-09-D2,721
B1F07-R01-09-E1,722
B1F07-R01-09-E2,723
B1F07-R01-09-F1,724
B1F07-R01-09-F2,725
B1F07-R01-09-G1,726
B1F07-R01-09-G2,727
B1F07-R01-10-00,728
B1F07-R01-10-A1,729
B1F07-R01-10-A2,730
B1F07-R01-10-B1,731
B1F07-R01-10-B2,732
B1F07-R01-10-C1,733
B1F07-R01-10-C2,734
B1F07-R01-10-D1,735
B1F07-R01-10-D2,736
B1F07-R01-10-E1,737
B1F07-R01-10-E2,738
B1F07-R01-10-F1,739
B1F07-R01-10-F2,740
B1F07-R01-10-G1,741
B1F07-R01-10-G2,742
B1F07-R01-11-00,743
B1F07-R01-11-A1,744
B1F07-R01-11-A2,745
B1F07-R01-11-B1,746
B1F07-R01-11-B2,747
B1F07-R01-11-C1,748
B1F07-R01-11-C2,749
B1F07-R01-11-D1,750
B1F07-R01-11-D2,751
B1F07-R01-11-E1,752
B1F07-R01-11-E2,753
B1F07-R01-11-F1,754
B1F07-R01-11-F2,755
B1F07-R01-11-G1,756
B1F07-R01-11-G2,757
B1F07-R01-12-00,758
B1F07-R01-12-A1,759
B1F07-R01-12-A2,760
B1F07-R01-12-B1,761
B1F07-R01-12-B2,762
B1F07-R01-12-C1,763
B1F07-R01-12-C2,764
B1F07-R01-12-D1,765
B1F07-R01-12-D2,766
B1F07-R01-12-E1,767
B1F07-R01-12-E2,768
B1F07-R01-12-F1,769
B1F07-R01-12-F2,770
B1F07-R01-12-G1,771
B1F07-R01-12-G2,772
B1F07-R01-13-00,773
B1F07-R01-13-A1,774
B1F07-R01-13-A2,775
B1F07-R01-13-B1,776
B1F07-R01-13-B2,777
B1F07-R01-13-C1,778
B1F07-R01-13-C2,779
B1F07-R01-13-D1,780
B1F07-R01-13-D2,781
B1F07-R01-13-E1,782
B1F07-R01-13-E2,783
B1F07-R01-13-F1,784
B1F07-R01-13-F2,785
B1F07-R01-13-G1,786
B1F07-R01-13-G2,787
B1F07-R01-14-00,788
B1F07-R01-14-A1,789
B1F07-R01-14-A2,790
B1F07-R01-14-B1,791
B1F07-R01-14-B2,792
B1F07-R01-14-C1,793
B1F07-R01-14-C2,794
B1F07-R01-14-D1,795
B1F07-R01-14-D2,796
B1F07-R01-14-E1,797
B1F07-R01-14-E2,798
B1F07-R01-14-F1,799
B1F07-R01-14-F2,800
B1F07-R01-14-G1,801
B1F07-R01-14-G2,802
B1F07-R01-15-00,803
B1F07-R01-15-A1,804
B1F07-R01-15-A2,805
B1F07-R01-15-B1,806
B1F07-R01-15-B2,807
B1F07-R01-15-C1,808
